name, shipping, prices
Yeston Radeon RX6800XT 16GB D6 GDDR6 256bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 2*DP+1*HDMI-compatible +1*Type c  RGB light effect Fragrant graphics card,NA,$1699.00 –
Gigabyte Geforce GTX 1050 Ti 4GB GDDR5 128 Bit PCI-E Graphic Card (GV-N105TD5-4GD),NA,$292.16 –
ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO),$79.99 Shipping,$529.95 (9 Offers)–
GIGABYTE GeForce GTX 1660 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR5| GV-N1660OC-6GD Video Card,Free Shipping,$453.00 (11 Offers)–
GIGABYTE GeForce GT 1030 2GB GDDR5 PCI Express 3.0 x16 Video Card GV-N1030OC-2GI,Special Shipping,$105.19 –
GIGABYTE GeForce GT 1030 Low Profile D4 2G DirectX 12 GV-N1030D4-2GL Video Card,Special Shipping,$96.59 –
MSI GT 710 1GD3H LP GeForce GT 710 Graphic Card - 954 MHz Core - 1 GB DDR3 SDRAM - Low-profile,Free Shipping,$65.91 –
Yeston Radeon RX6800XT 16GB D6 GDDR6 256bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 2*DP+1*HDMI-compatible +1*Type c  RGB light effect Fragrant graphics card,Free Shipping,$1699.00 –
ASUS GeForce RTX 2060 DUAL EVO 6 GB GDDR6 Graphics Card (DUAL-RTX2060-6G-EVO),Special Shipping,$593.99 (7 Offers)–
GIGABYTE Geforce RTX 2060 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060OC-6GD Video Card,$40.00 Shipping,$559.99 (18 Offers)–
ASUS ROG STRIX Radeon RX 6700 XT OC Edition Gaming Graphics Card (AMD RDNA 2| PCIe 4.0| 12GB GDDR6| HDMI 2.1| DisplayPort 1.4a| Axial-tech Fan Design| 2.9-slot| Super Alloy Power II| GPU Tweak II),Free Shipping,$1028.97 (11 Offers)–
MSI Gaming GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 ATX Video Card GTX 1050 Ti GAMING X 4G,$5.99 Shipping,$309.99 (13 Offers)–
MSI GT 710 1GD3H LP GeForce GT 710 Graphic Card - 954 MHz MSI-GT710 1GD3H LP Core - 1 GB DDR3 SDRAM - Low-profile,Free Shipping,$65.91 –
Yeston Radeon RX6800XT 16GB D6 GDDR6 256bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 2*DP+1*HDMI-compatible +1*Type c  RGB light effect Fragrant graphics card,Free Shipping,$1699.00 –
GIGABYTE Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TGAMING OC-12GD,$49.99 Shipping,$1886.91 –
Yeston GeForce GT730 4GB DDR3Graphics cards Nvidia PCI Express 2.0 Desktop computer PC video gaming graphics card,Free Shipping,$119.00 –
Yeston Radeon RX550 4GB GDDR5 1183MHz 512processors PCIExpress 3.0 DirectX12 Single Slot 4*HDMI compatible graphics card of Desktop,Free Shipping,$189.00 –
ASUS GeForce GT 1030 2GB Phoenix Fan OC Edition HDMI DVI Graphics Card (PH-GT1030-O2G),Special Shipping,$105.99 (11 Offers)–
ZOTAC GAMING GeForce GTX 1660 SUPER 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| ZT-T16620F-10L,Free Shipping,$479.99 (4 Offers)–
GIGABYTE GeForce RTX 2060 OC GG Graphics Card| 2X Windforce Fans| 6GB 192-bit GDDR6| Gv-N2060OC-6GD REV2.0 Video Card,$40.00 Shipping,$558.23 (16 Offers)–
ASUS Cerberus GeForce GTX 1050 Ti 4GB GDDR5 Gaming Graphics Card| CERBERUS-GTX1050TI-A4G,Free Shipping,$282.19 (14 Offers)–
GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N166TOC-6GD Video Card,Free Shipping,$534.57 (7 Offers)–
ASRock Challenger D Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 x16 Video Card RX6700XT CLD 12GO,$9.99 Shipping,$799.99 –
GIGABYTE Radeon RX 6700 XT GAMING OC 12G Graphics Card| WINDFORCE 3X Cooling System| 12GB 192-bit GDDR6| GV-R67XTGAMING OC-12GD Video Card,Free Shipping,$899.99 (8 Offers)–
ASUS TUF Gaming Radeon RX 6700 XT OC Edition Graphics Card (AMD RDNA 2| PCIe 4.0| 12GB GDDR6| HDMI 2.1| DisplayPort 1.4a| Dual Ball Fan Bearings| All-aluminum Shroud| Reinforced Frame| GPU Tweak II),Free Shipping,$965.06 (9 Offers)–
Colorful iGame GeForce RTX 3060 Ultra W OC 12G Non-locking PCI Express 4.0 Nvidia Graphics Card  GPU Video Cards for Desktop,$4.86 Shipping,$904.00 (3 Offers)–
GIGABYTE GeForce GTX 1650 SUPER WINDFORCE OC 4G Graphics Card| 2 x WINDFORCE Fans| 4GB 128-Bit GDDR6| GV-N165SWF2OC-4GD Video Card,Free Shipping,$393.40 (13 Offers)–
GIGABYTE Radeon RX 6800 XT GAMING OC 16G Graphics Card| WINDFORCE 3X Cooling System| 16GB 256-bit GDDR6| GV-R68XTGAMING OC-16GD Video Card| Powered by AMD RDNA 2| HDMI 2.1,$9.99 Shipping,$1319.99 (10 Offers)–
GIGABYTE AORUS Radeon RX 6700 XT ELITE 12G Graphics Card| WINDFORCE 3X Cooling System| 12GB 192-bit GDDR6| GV-R67XTAORUS E-12GD Video Card,Free Shipping,$958.19 (5 Offers)–
Sapphire NITRO+ AMD RADEON RX 6900 XT SE GAMING OC Graphics Card With 16GB GDDR6 HDMI / TRIPLE DP,$9.99 Shipping,$1869.99 (12 Offers)–
ZOTAC GAMING GeForce RTX 3090 Trinity OC 24GB GDDR6X 384-bit 19.5 Gbps PCIE 4.0 Gaming Graphics Card| IceStorm 2.0 Advanced Cooling| SPECTRA 2.0 RGB Lighting| ZT-A30900J-10P,$22.99 Shipping,$2699.67 (3 Offers)–
GIGABYTE GeForce RTX 3060 Ti VISION OC 8G Graphics Card| WINDFORCE 3X Cooling System| 8GB 256-bit GDDR6| GV-N306TVISION OC-8GD (REV 2.0) LHR Video Card,$80.00 Shipping,$819.33 (3 Offers)–
ASUS TUF Gaming GeForce GTX 1660 SUPER Overclocked 6GB Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1660S-O6G-GAMING),Free Shipping,$788.88 (1 Offers)–
GIGABYTE GeForce RTX 3060 Ti VISION OC 8G Graphics Card| WINDFORCE 3X Cooling System| 8GB 256-bit GDDR6| GV-N306TVISION OC-8GD Video Card,$49.99 Shipping,$941.80 (4 Offers)–
GIGABYTE GeForce RTX 3060 EAGLE 12G Graphics Card| 2 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060EAGLE OC-12GD (rev. 2.0) Video Card,$40.00 Shipping,$724.84 (3 Offers)–
GIGABYTE Radeon RX 6800 GAMING OC 16G Graphics Card| WINDFORCE 3X Cooling System| 16GB 256-bit GDDR6| GV-R68GAMING OC-16GD Video Card| Powered by AMD RDNA 2| HDMI 2.1,$9.99 Shipping,$1179.99 (4 Offers)–
ASUS GeForce GTX 1050 Ti 4GB PHOENIX Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050Ti-4G),Free Shipping,$269.89 (4 Offers)–
Sapphire Nitro+ AMD Radeon RX 6700 XT Gaming OC 12GB GDDR6 HDMI / Triple DP (11306-01-20G),$6.99 Shipping,$939.99 (8 Offers)–
Colorful GeForce RTX 2060 Super WINDFORCE 8G Gaming Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| PCI Express 3.0 16X| NVIDIA Chip GPU Video Card|Easily Play Various Large-scale 3D Games,$6.34 Shipping,$799.00 –
ASUS ROG Strix GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3080-O10G-GUNDAM|WHITE GPU|WHITE Graphics Card,$160.00 Shipping,$2222.36 (3 Offers)–
Gigabyte Gv-N165SWF2OC-4GD GeForce GTX 1650 Super Windforce OC 4G Graphics Card| 2X Windforce Fans| 4GB 128-Bit GDDR6| Video Card,$49.99 Shipping,$334.99 –
GIGABYTE Geforce RTX 2060 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR| GV-N2060D6-6GD Video Card,Free Shipping,$649.98 –
ASUS Dual GeForce RTX 2060 Advanced OC EVO Graphics Card 6GB 192-Bit GDDR6 PCIe 3.0 x16 DirectX 12 HDCP Ready Auto-Extreme Technology 1x DVI-D 2X HDMI 2.0b 1x DisplayPort 1.4|(DUAL-RTX2060-O6G-EVO),$79.99 Shipping,$535.42 (5 Offers)–
MSI Gaming GeForce GTX 1660 SUPER 6GB GDDR6 PCI Express 3.0 x16 Video Card GTX 1660 SUPER GAMING X,Free Shipping,$588.51 (10 Offers)–
GIGABYTE Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TGAMING OC-12GD,$160.00 Shipping,$1722.69 (4 Offers)–
MSI Ventus GeForce GTX 1660 SUPER 6GB GDDR6 PCI Express 3.0 x16 Video Card GTX 1660 SUPER VENTUS XS OC,Free Shipping,$595.60 (9 Offers)–
MSI Ventus GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti Ventus 3X 8G OC,Free Shipping,$1185.00 (6 Offers)–
COLORFUL GTX 1060 3G Graphics Card GDDR5 8008MHz 16nm 1152 CUDAS 192Bit DVI+HDMI+DP 6Pin Direct X 12 Support Gaming Video Card,NA,$1185.00 (6 Offers)–
